singular,plural,past
centers,center,centered
centralizes,centralize,centralized
centrifuges,centrifuge,centrifuged
certificates,certificate,certificated
certifies,certify,certified
chafes,chafe,chafed
chaffs,chaff,chaffed
chagrins,chagrin,chagrined
chains,chain,chained
chairs,chair,chaired
chalks,chalk,chalked
challenges,challenge,challenged
champions,champion,championed
champs,champ,champed
chances,chance,chanced
changes,change,changed
channels,channel,channeled
chants,chant,chanted
chaperones,chaperone,chaperoned
chaperons,chaperon,chaperoned
chaps,chap,chapped
characterizes,characterize,characterized
charges,charge,charged
charms,charm,charmed
chars,char,charred
charters,charter,chartered
charts,chart,charted
chases,chase,chased
chastens,chasten,chastened
chastises,chastise,chastised
chats,chat,chatted
chatters,chatter,chattered
chauffeurs,chauffeur,chauffeured
cheapens,cheapen,cheapened
cheats,cheat,cheated
checkers,checker,checkered
checkmates,checkmate,checkmated
checks,check,checked
cheeks,cheek,cheeked
cheers,cheer,cheered
cherishes,cherish,cherished
chews,chew,chewed
chickens,chicken,chickened
chides,chide,chided
chills,chill,chilled
chimes,chime,chimed
chinks,chink,chinked
chins,chin,chinned
chips,chip,chipped
chirps,chirp,chirped
chirrups,chirrup,chirruped
chisels,chisel,chiseled
chlorinates,chlorinate,chlorinated
chloroforms,chloroform,chloroformed
chocks,chock,chocked
chokes,choke,choked
chomps,chomp,chomped
chooses,choose,chose
chops,chop,chopped
choreographs,choreograph,choreographed
choruses,chorus,chorused
christens,christen,christened
chronicles,chronicle,chronicled
chuckles,chuckle,chuckled
chucks,chuck,chucked
chums,chum,chummed
chunks,chunk,chunked
churns,churn,churned
chutes,chute,chuted
cinches,cinch,cinched
ciphers,cipher,ciphered
circles,circle,circled
circularizes,circularize,circularized
circulates,circulate,circulated
circumcises,circumcise,circumcised
circumflexes,circumflex,circumflexed
circumnavigates,circumnavigate,circumnavigated
circumscribes,circumscribe,circumscribed
circumvents,circumvent,circumvented
cites,cite,cited
civilizes,civilize,civilized
clacks,clack,clacked
clads,clad,cladded
claims,claim,claimed
clambers,clamber,clambered
clamors,clamor,clamored
clamps,clamp,clamped
clams,clam,clammed
clangs,clang,clanged
clanks,clank,clanked
claps,clap,clapped
clarifies,clarify,clarified
clashes,clash,clashed
clasps,clasp,clasped
classes,class,classed
